ID;Rt;Likes;D;abs
947099151111729000;33;13;20;20
946788999523430000;6;4;2;2
946404500667092000;23;27;-4;4
945437272312295000;2;4;-2;2
941039499999621000;13;94;-81;81
938427969399328000;11;148;-137;137
947847821734105000;2;0;2;2
947227514946154000;1;20;-19;19
947872155336880000;11;19;-8;8
947858699959324000;23;85;-62;62
947855498690351000;5;35;-30;30
947844062408736000;8;0;8;8
947839220349063000;49;0;49;49
947834405065773000;35;108;-73;73
947801349605023000;7;0;7;7
947461651581800000;2;0;2;2
947188081983197000;5;44;-39;39
946327390271176000;1;3;-2;2
946089585318260000;21;36;-15;15
947863805480067000;11;0;11;11
947828644860194000;8;22;-14;14
947786688419565000;25;44;-19;19
947516503909429000;5;29;-24;24
946806836480675000;6;24;-18;18
946713747422371000;6;0;6;6
942143131511934000;5;22;-17;17
942113970680365000;6;17;-11;11
942051921581535000;7;20;-13;13
946818107422724000;59;174;-115;115
946756558079262000;83;0;83;83
946735051990958000;2;11;-9;9
946712401948405000;36;131;-95;95
946680503935135000;2;7;-5;5
946833202102046000;1;10;-9;9
946665452893364000;3;16;-13;13
946472320230498000;3;12;-9;9
947843362073337000;5;9;-4;4
947810393241587000;34;94;-60;60
947794786899120000;2;0;2;2
946788121684987000;13;624;-611;611
945376831624146000;19;851;-832;832
941697081001086000;19;690;-671;671
938904947193798000;14;364;-350;350
935267887610200000;14;0;14;14
947784992737939000;9;51;-42;42
947663703117369000;7;34;-27;27
947643576229523000;4;9;-5;5
947633527151058000;9;31;-22;22
947628558884667000;18;31;-13;13
947544203596267000;10;41;-31;31
947504431800750000;14;0;14;14
947408291688255000;20;0;20;20
947052784188354000;7;0;7;7
947545337576779000;114;455;-341;341
946675306743681000;143;535;-392;392
947846202430803000;10;17;-7;7
947623492165558000;1;6;-5;5
947618499324760000;3;5;-2;2
947771971328200000;29;93;-64;64
947164449080832000;0;7;-7;7
938794571617759000;44;188;-144;144
938151007095345000;29;110;-81;81
937411118229630000;30;87;-57;57
947086035523194000;8;22;-14;14
947071828450795000;0;4;-4;4
947064434974953000;0;4;-4;4
947061619493949000;0;5;-5;5
947061268124495000;0;3;-3;3
947605800691810000;552;1938;-1386;1386
947678779987644000;2;4;-2;2
947488477813276000;9;5;4;4
947868296908541000;6;5;1;1
947632076710400000;14;37;-23;23
947489899346911000;8;6;2;2
947487011056824000;14;7;7;7
947620037589741000;4;30;-26;26
947788501445152000;40;31;9;9
947762332482097000;2;8;-6;6
947094589789351000;6;16;-10;10
946698558518038000;5;19;-14;14
946383484637122000;5;16;-11;11
946360462136004000;6;25;-19;19
945753667264811000;0;0;0;0
945617437071986000;0;1;-1;1
945386414627328000;1;0;1;1
947872798537633000;1;1;0;0
947841236383227000;1042;0;1042;1042
947513025573027000;440;661;-221;221
947437368201678000;337;469;-132;132
947423757227917000;71;0;71;71
947816271701250000;0;4;-4;4
947541128231911000;0;13;-13;13
947394673475244000;0;3;-3;3
947242836331847000;4;0;4;4
946833772623880000;3;8;-5;5
947454735610793000;3;23;-20;20
946730913865531000;2;5;-3;3
945963230639394000;39;0;39;39
947846375861047000;8;10;-2;2
947758009417129000;5;236;-231;231
942915539122262000;26;212;-186;186
947573487354474000;3;11;-8;8
947573266826264000;1;7;-6;6
946818206982864000;3;18;-15;15
945686654186074000;22;98;-76;76
945051917247504000;15;90;-75;75
943187890359734000;18;62;-44;44
946703410388258000;38;119;-81;81
946697432368283000;54;147;-93;93
947838680990978000;52;0;52;52
947770656267100000;2208;0;2208;2208
;;;;
;;;;
;;;;
